Date,Open,High,Low,Close,Volume,Adj Close
2016-08-25,351.25,354.00,344.10,346.00,3229300,346.00
2016-08-24,354.00,358.35,350.00,352.60,1631200,352.60
2016-08-23,348.00,355.40,344.70,353.75,2295100,353.75
2016-08-22,351.00,353.00,346.10,350.20,886400,350.20
2016-08-19,354.00,355.00,347.30,351.40,1708100,351.40
2016-08-18,348.40,353.90,346.85,353.15,1886700,353.15
2016-08-17,343.50,349.50,343.50,345.65,3222400,345.65
2016-08-16,348.50,351.35,339.70,342.45,3742800,342.45
2016-08-15,347.80,347.80,347.80,347.80,000,347.80
2016-08-12,344.25,349.00,344.10,347.80,2356800,347.80
2016-08-11,346.25,346.75,342.00,346.35,2485700,346.35
2016-08-10,351.00,353.40,345.00,346.45,1535900,345.09
2016-08-09,352.90,355.05,344.75,349.45,5168200,348.078
2016-08-08,363.00,364.90,349.30,351.55,4841800,350.17
2016-08-05,367.20,371.50,359.55,364.00,3838700,362.571
2016-08-04,359.80,368.75,353.05,366.25,2975100,364.812
2016-08-03,359.15,360.40,353.25,358.85,2245400,357.441
2016-08-02,361.90,364.80,355.65,357.80,3206000,356.395
2016-08-01,363.45,367.00,362.10,364.00,1599900,362.571
2016-07-29,371.90,371.90,360.45,362.05,3765400,360.629
2016-07-28,381.80,381.80,363.60,371.90,7405200,370.44
2016-07-27,370.70,377.25,368.40,372.55,2337100,371.088
2016-07-26,370.00,372.95,366.85,369.85,1678600,368.398
2016-07-25,364.00,372.80,363.10,371.95,1668000,370.49
2016-07-22,368.00,369.80,364.10,367.35,2307100,365.908
2016-07-21,365.90,369.70,362.50,367.85,1981300,366.406
2016-07-20,364.20,366.95,361.35,363.40,2564100,361.973
2016-07-19,359.05,368.20,357.60,364.30,3201700,362.87
2016-07-18,379.70,380.00,361.05,362.65,3238000,361.226
2016-07-15,365.40,379.95,365.40,378.90,2536800,377.413
2016-07-14,363.60,367.70,361.85,366.95,989000,365.51
2016-07-13,365.90,365.95,359.10,363.70,1450500,362.272
2016-07-12,362.40,364.50,360.00,363.30,1201500,361.874
